Province/State,Country/Region,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020
,Afghanistan,4,6,6,7,7,11,14,14,15,15,18,18,21,23,25,30,30,30,33,36,36,40
,Albania,15,16,17,20,20,21,22,22,23,23,23,23,23,24,25,26,26,26,26,26,26,27
,Algeria,58,86,105,130,152,173,193,205,235,256,275,293,313,326,336,348,364,367,375,384,392,402
,Andorra,14,15,16,17,18,21,22,23,25,26,26,29,29,31,33,33,35,35,36,37,37,37
,Angola,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Antigua and Barbuda,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
,Argentina,28,36,39,43,44,48,56,63,72,82,83,90,97,102,111,115,123,129,132,136,147,152
,Armenia,4,7,7,7,7,8,8,9,10,12,13,13,14,16,17,18,19,20,20,22,24,24
Australian Capital Territory,Australia,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
New South Wales,Australia,9,10,12,12,16,18,21,21,21,22,23,24,25,25,25,25,26,26,26,26,26,26
Northern Territory,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Australia,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6
South Australia,Australia,0,0,0,0,0,0,1,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4
Tasmania,Australia,2,2,2,2,2,2,2,3,3,4,4,5,5,6,6,6,7,7,7,7,7,7
Victoria,Australia,4,5,7,8,8,10,11,12,12,13,14,14,14,14,14,14,14,14,14,14,14,14
Western Australia,Australia,2,2,2,2,3,4,4,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
,Austria,146,158,168,186,204,220,243,273,295,319,337,350,368,384,393,410,431,443,452,470,491,510
,Azerbaijan,5,5,5,5,7,7,8,8,9,10,11,11,12,13,13,15,15,18,19,19,20,20
,Bahamas,1,1,1,4,4,5,6,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9
,Bahrain,4,4,4,4,4,4,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7
,Bangladesh,6,6,6,8,9,12,17,20,21,27,30,34,39,46,50,60,75,84,91,101,110,120
,Barbados,0,0,0,0,1,2,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5
,Belarus,2,4,4,5,8,13,13,13,16,19,23,26,29,33,36,40,42,45,47,51,55,58
,Belgium,828,1011,1143,1283,1447,1632,2035,2240,2523,3019,3346,3600,3903,4157,4440,4857,5163,5453,5683,5828,5998,6262
,Benin,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bolivia,7,8,9,10,10,11,14,15,18,19,20,24,27,28,28,29,31,31,32,33,34,37
,Bosnia and Herzegovina,13,16,17,21,23,29,33,34,35,36,37,39,39,40,41,43,46,47,48,49,51,53
,Brazil,240,324,359,445,486,564,686,819,950,1057,1124,1223,1328,1532,1736,1924,2141,2354,2462,2587,2741,2906
,Brunei,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Bulgaria,10,10,14,17,20,22,23,24,24,25,28,29,32,35,36,38,41,41,42,43,45,49
,Burkina Faso,16,16,16,16,17,18,19,23,24,24,27,27,27,30,32,32,35,36,36,38,38,39
,Cabo Verde,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cameroon,6,7,8,9,9,9,9,10,10,12,12,12,12,14,17,22,22,22,42,42,43,43
Alberta,Canada,9,13,13,18,20,23,24,26,29,32,40,40,46,48,48,48,50,51,51,59,61,66
British Columbia,Canada,24,31,31,38,38,38,39,43,48,50,58,58,69,69,72,75,77,78,81,82,87,90
Grand Princess,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Manitoba,Canada,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5,6,6,6
New Brunswick,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Canada,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
Nova Scotia,Canada,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,4,7,9,9,10,12
Ontario,Canada,37,53,67,94,119,150,153,153,200,222,253,274,291,334,385,490,524,564,591,624,694,762
Prince Edward Island,Canada,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quebec,Canada,33,36,61,61,75,121,150,175,216,241,289,328,360,435,487,630,688,688,820,939,1044,1134
Saskatchewan,Canada,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chile,16,18,22,27,34,37,43,48,57,65,73,80,82,92,94,105,116,126,133,139,147,160
Anhui,China,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Beijing,China,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Chongqing,China,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Fujian,China,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gansu,China,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Guangdong,China,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Guangxi,China,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Guizhou,China,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Hainan,China,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hebei,China,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Heilongjiang,China,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Henan,China,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Hong Kong,China,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Hubei,China,3193,3199,3203,3207,3210,3212,3212,3213,3215,3216,3219,3219,3221,3221,3222,3222,4512,4512,4512,4512,4512,4512
Hunan,China,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Inner Mongolia,China,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jiangsu,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jiangxi,China,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jilin,China,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Liaoning,China,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Macau,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ningxia,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qinghai,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaanxi,China,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Shandong,China,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Shanghai,China,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Shanxi,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sichuan,China,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Tianjin,China,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Tibet,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xinjiang,China,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Yunnan,China,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Zhejiang,China,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Colombia,17,19,25,32,35,46,50,54,69,80,100,109,112,127,131,144,153,153,179,189,196,206
,Congo (Brazzaville),0,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6
,Congo (Kinshasa),9,13,13,18,18,18,18,18,18,20,20,20,20,20,21,22,23,25,25,25,25,25
,Costa Rica,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,6,6,6
,Cote d'Ivoire,1,1,1,1,3,3,3,3,3,3,4,5,6,6,6,6,6,8,9,9,13,14
,Croatia,6,7,8,12,15,16,18,19,20,21,21,23,25,31,33,35,36,39,47,47,48,48
,Diamond Princess,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,13,13,13,13,13,13
,Cuba,6,6,6,6,8,9,11,12,15,15,16,18,21,21,24,27,31,32,34,36,38,40
,Cyprus,9,10,11,11,9,9,9,9,10,10,10,11,12,12,12,12,12,12,12,12,12,13
,Czechia,39,44,53,59,67,78,88,99,112,119,129,138,143,161,166,169,173,181,186,194,201,208
Faroe Islands,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Denmark,104,123,139,161,179,187,203,218,237,247,260,273,285,299,309,321,336,346,355,364,370,384
,Djibouti,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2
,Dominican Republic,57,60,68,68,82,86,98,108,118,126,135,173,177,183,189,196,200,217,226,235,245,260
,Ecuador,93,120,145,172,180,191,191,242,272,297,315,333,355,369,388,403,421,456,474,507,520,537
,Egypt,52,58,66,71,78,85,94,103,118,135,146,159,164,178,183,196,205,224,239,250,264,276
,El Salvador,1,2,2,3,3,4,4,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7
,Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Estonia,5,11,12,13,15,19,21,24,24,24,24,25,28,31,35,36,38,38,40,40,43,44
,Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
,Ethiopia,0,0,0,0,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Finland,17,19,20,25,28,27,34,40,42,48,49,56,59,64,72,75,82,90,94,98,141,149
French Guiana,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
French Polynesia,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,France,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12
Mayotte,France,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4
New Caledonia,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Barthelemy,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Martin,France,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Martinique,France,3,3,3,3,4,4,4,6,6,6,6,6,6,6,8,8,8,8,12,12,14,14
,France,4403,5387,6507,7560,8078,8911,10328,10869,12210,13197,13832,14393,14967,15729,17167,17920,18681,19323,19718,20265,20796,21340
,Gabon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Gambia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Georgia,0,0,0,1,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5
,Germany,920,1107,1275,1444,1584,1810,2016,2349,2607,2767,2736,3022,3194,3294,3804,4052,4352,4459,4586,4862,5033,5279
,Ghana,5,5,5,5,5,5,5,6,6,6,8,8,8,8,8,8,8,9,9,9,9,9
,Greece,50,53,63,68,73,79,81,83,87,92,93,98,99,101,102,105,108,110,113,116,121,121
,Guatemala,1,1,1,2,2,3,3,3,3,3,3,5,5,5,5,5,7,7,7,7,7,8
,Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,5,6,6
,Guyana,2,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7
,Haiti,0,0,0,0,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,4
,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Honduras,10,14,15,15,22,22,22,22,23,23,24,25,25,26,31,35,41,46,46,46,46,46
,Hungary,20,21,26,32,34,38,47,58,66,77,85,99,109,122,134,142,156,172,189,199,213,225
,Iceland,2,4,4,4,4,6,6,6,6,7,8,8,8,8,8,8,9,9,9,10,10,10
